ID,Cemetery,Year,TS,PPA,tag,Quadrant,Excavation Trench,Sq,Layer,L1 details,Feature,Offering Place,Tomb,Artifact Class,Artifact type,Proportion,"Long section (Cylindrical, biconical, barrel)","Trans section (Round, flat, rectangular)",Material gen,Material spec,Color,Color Munsell,Status (Entire/broken),Stage,"Surface traces (Chipped, Ground, Polished, Worn)",Length MAX,Length MIN,(Length A-B) - From end to centre for bicones and barrels,(Length B-C) - From end to centre for bicones and barrels,Thickness (cm),Dia MAX (cm),Length (cm),Dia MIN (cm),Width (cm),Hole Dia 1 (cm),Hole Dia 2 (cm),Perforation tech (Drilling / Pecking/ind),Drill act (Im) (Drilling actions (Impression) Single /multiple/stepped (No. steps)),Drill direct (Im) (One side / Two sides),"Drill section (Im) - Cylindrical, tapered, conical","Drill surface (Im) - Parallel striae, irregular striae, smoothed, etc.","Drill tech  (Im) - Stone drill, Ernestite drill, Solid copper, Tubular copper","Bead end 1 - Chipped, Ground, Polished","Bead end 2 - Chipped, Ground, Polished",Photo,Notes
TAG6015-AKAP-PG-SF_1115,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.5,,0.377,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1116,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.5,,0.377,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1117,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.5,,0.377,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1118,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.5,,0.377,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1119,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.5,,0.377,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1120,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.5,,0.377,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1121,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.475,,0.363,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1122,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.475,,0.363,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1123,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.475,,0.363,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1124,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.305,,0.256,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1125,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.305,,0.256,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1126,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.305,,0.256,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1127,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Globular,Round,,Garnet,Dark red,,,,,,,,,,0.537,,0.413,,,,,,,,,,,,Dyno,
TAG6015-AKAP-PG-SF_1128,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Globular,Round,,Garnet,Dark red,,,,,,,,,,0.537,,0.413,,,,,,,,,,,,Dyno,
TAG6015-AKAP-PG-SF_1129,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Globular,Round,,Garnet,Dark red,,,,,,,,,,0.537,,0.413,,,,,,,,,,,,Dyno,
TAG6023-AKAP-PG-SF_1130,WT1,2022,,,6023,Q2B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.502,,0.47,,,,,,,,,,,,No,
TAG6023-AKAP-PG-SF_1131,WT1,2022,,,6023,Q2B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.502,,0.47,,,,,,,,,,,,No,
TAG6023-AKAP-PG-SF_1132,WT1,2022,,,6023,Q2B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.502,,0.47,,,,,,,,,,,,No,
TAG6023-AKAP-PG-SF_1133,WT1,2022,,,6023,Q2B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.502,,0.47,,,,,,,,,,,,No,
TAG6023-AKAP-PG-SF_1134,WT1,2022,,,6023,Q2B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.502,,0.47,,,,,,,,,,,,No,
TAG6027-AKAP-PG-SF_1135,WT1,2022,,,6027,Q2A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.44,,,,,,,,,,,,,,No,
TAG6027-AKAP-PG-SF_1136,WT1,2022,,,6027,Q2A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.257,,,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1137,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.683,,,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1138,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.375,,,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1139,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.375,,,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1140,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.375,,,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1141,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.375,,,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1142,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.375,,,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1143,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.375,,,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1144,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.437,,0.366,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1145,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.437,,0.366,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1146,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.437,,0.366,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1147,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.437,,0.366,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1148,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.437,,0.366,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1149,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.437,,0.366,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1150,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,,,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1151,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,,,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1152,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,,,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1153,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1154,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1155,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1156,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1157,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,No,
TAG6032-AKAP-PG-SF_1158,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,Dyno,
TAG6032-AKAP-PG-SF_1159,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,Dyno,
TAG6032-AKAP-PG-SF_1160,WT1,2022,,,6032,Q2A,,,L5,,FT2,,TB2,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.44,,0.243,,,,,,,,,,,,Dyno,
TAG6036-AKAP-PG-SF_1161,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1162,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1163,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1164,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1165,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1166,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1167,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1168,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1169,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1170,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,,,,,Faience,Light blue,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1171,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,,,,,Faience,Light blue,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1172,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,,,,,Faience,Light blue,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1173,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,,,,,Faience,Light blue,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1174,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Short tubular,Flat,,Faience,Black,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1175,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Long tubular,Flat,,Faience,Black,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1176,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Faience,Black,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1177,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Faience,Black,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1178,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,Bead,Short,Disc,Flat,,Faience,Black,,,,,,,,,,,,,,,,,,,,,,,,,
TAG6036-AKAP-PG-SF_1179,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,String of Beads,Short,Short tubular + disc,Flat,,Faience,Black,,,,,,,,,,,,,,,,,,,,,,,,,"See Botanical remains excel, entry TAG6036-AKAP-PG-SF_6226"
TAG6036-AKAP-PG-SF_1180,WT1,2022,,,6036,Q1A,,,L4,,FT1,,TB1,,String of Beads,Short,Short tubular + disc,Flat,,Faience,Black,,,,,,,,,,,,,,,,,,,,,,,,,"See Botanical remains excel, entry TAG6036-AKAP-PG-SF_6227"
TAG6042-AKAP-PG-SF_1181,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1182,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1183,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1184,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1185,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1186,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1187,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1188,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1189,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1190,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1191,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1192,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1193,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1194,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1195,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1196,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1197,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1198,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1199,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1200,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1201,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.493,,0.401,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1202,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Globular,Round,,Garnet,Dark red,,,,,,,,,,0.519,,0.495,,,,,,,,,,,,,
TAG6042-AKAP-PG-SF_1203,WT1,2022,,,6042,Q1B-2B,,,L8,,FT3,,TB3,,Bead,Short,Globular,Round,,Garnet,Dark red,,,,,,,,,,0.519,,0.495,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1204,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1205,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1206,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1207,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1208,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1209,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1210,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1211,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1212,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1213,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1214,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1215,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1216,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1217,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1218,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1219,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1220,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1221,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1222,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1223,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1224,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1225,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1226,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1227,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1228,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Greyish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1229,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Greyish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1230,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Greyish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1231,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Greyish,,,,,,,,,,0.673,,0.315,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1232,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.372,,0.362,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1233,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.372,,0.362,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1234,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.295,,0.265,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1235,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.295,,0.265,,,,,,,,,,,,,
TAG6054-AKAP-PG-SF_1236,WT1,2022,,,6054,Q1B,,,L2,,,,,,Bead,Short,Globular,Round,,Garnet,Dark red,,,,,,,,,,0.527,,0.503,,,,,,,,,,,,,
